Wavelength,45_5C_Abs,48_5C_Abs,50_0C_Abs
499.2472363,-0.724070648,-0.869368699,-0.521680852
499.308884,-0.724070648,-0.869368699,-0.521680852
499.3705283,-0.724070648,-0.869368699,-0.521680852
499.4321691,0,0,0
499.4938065,-0.695849676,-0.947495,-0.903105918
499.5554404,-1.299165749,-1.473847126,-1.363813879
499.6170709,-0.438475616,-0.668553392,-0.610635396
499.678698,2.001362661,-0.288912694,-0.005664088
499.7403216,0,0,0
499.8019418,0,0,0
499.8635585,-0.448332102,-0.641519827,-0.543624257
499.9251718,-0.068742412,-0.44457734,-0.332855856
499.9867817,0,0,0
500.0483881,0,0,0
500.1099911,0,0,0
500.1715906,-0.226708171,-0.917665419,-0.747736819
500.2331867,-0.518392762,-0.881135514,-0.810278887
500.2947794,0.194841169,0.214294036,0.213610976
500.3563686,0.323596017,0.422107626,0.374848052
500.4179544,0.332079689,0.436723668,0.385054324
500.4795367,0.33278638,0.450326914,0.385698492
500.5411156,0.328815362,0.447759445,0.379382267
500.602691,0.344474126,0.448425524,0.399226165
500.664263,0.345468213,0.456837519,0.404390925
500.7258316,0.340537652,0.444958131,0.400556663
500.7873967,0.317040976,0.421938997,0.367526759
500.8489584,0.337406477,0.450088559,0.38407122
500.9105167,0.340243416,0.450668493,0.397367188
500.9720715,0.33841997,0.449968906,0.398346579
501.0336229,0.338196201,0.455068101,0.392736945
501.0951708,0.32723007,0.43969779,0.382805178
501.1567153,0.338679891,0.454573659,0.39229784
501.2182563,0.335907171,0.451450108,0.39641169
501.2797939,0.342058875,0.46402899,0.39634921
501.3413281,0.334887896,0.439144329,0.384279548
501.4028588,0.344984217,0.467963631,0.402199517
501.4643861,0.344299143,0.465133895,0.394220095
501.5259099,0.332050472,0.441645417,0.376569756
501.5874304,0.351375625,0.485563235,0.402517258
501.6489473,0.358933444,0.464568293,0.393376939
501.7104608,0.34654849,0.459047444,0.39113528
501.7719709,0.337410544,0.440601641,0.382776761
501.8334776,0.340899737,0.447408568,0.389786988
501.8949808,0.344763275,0.478354832,0.411393197
501.9564805,0.359527722,0.503314536,0.421784128
502.0179768,0.363837485,0.492577445,0.415657791
502.0794697,0.34773895,0.470666796,0.396039324
502.1409592,0.350136191,0.474460585,0.401242559
502.2024452,0.346905565,0.460509394,0.390512676
502.2639277,0.336911424,0.448023916,0.383966389
502.3254068,0.334137447,0.442146457,0.383133058
502.3868825,0.334958792,0.454476073,0.390573743
502.4483547,0.337689169,0.451634634,0.396512794
502.5098235,0.341695719,0.467067888,0.393848387
502.5712889,0.334404696,0.457664596,0.391777757
502.6327508,0.345431173,0.464018859,0.400210298
502.6942093,0.346005277,0.458394189,0.393482137
502.7556643,0.340582619,0.450833926,0.387964517
502.8171159,0.34523807,0.46668124,0.397007583
502.878564,0.359005434,0.492302793,0.421630392
502.9400088,0.344388112,0.46021561,0.401182744
503.00145,0.329992169,0.432478691,0.371299072
503.0628879,0.354586267,0.483529256,0.407599603
503.1243222,0.354193436,0.492368214,0.411618104
503.1857532,0.348557435,0.471641608,0.401644145
503.2471807,0.339250481,0.444119925,0.38658519
503.3086048,0.358649465,0.488214442,0.413852041
503.3700254,0.367071246,0.492855873,0.429232423
503.4314426,0.352406122,0.469925808,0.400616336
503.4928563,0.342566506,0.450413568,0.393045104
503.5542666,0.356070112,0.477508486,0.411164505
503.6156735,0.361385332,0.482492413,0.420831207
503.6770769,0.360772431,0.490075376,0.419816696
503.7384769,0.367301034,0.493245648,0.42030355
503.7998734,0.36063996,0.48685495,0.412311338
503.8612665,0.365797563,0.484525691,0.417946193
503.9226562,0.366871203,0.485033242,0.4220525
503.9840424,0.361831288,0.471845689,0.407258359
504.0454252,0.360147402,0.48013033,0.409507051
504.1068045,0.358049294,0.485942056,0.414002476
504.1681804,0.34938493,0.479577388,0.408497499
504.2295529,0.355741642,0.482412711,0.405960997
504.2909219,0.375992392,0.517179381,0.429453784
504.3522875,0.37312894,0.50193971,0.425446404
504.4136496,0.363780105,0.50061977,0.430005637
504.4750083,0.367402475,0.494882608,0.416149075
504.5363636,0.367292616,0.489532348,0.417129639
504.5977154,0.359610089,0.479156754,0.412299727
504.6590638,0.337785459,0.459431001,0.39270567
504.7204087,0.311201657,0.399090908,0.350882308
504.7817502,0.356623087,0.468089814,0.402864898
504.8430883,0.370287282,0.488127413,0.416570789
504.9044229,0.3790285,0.499546998,0.427634208
504.965754,0.372242081,0.502134099,0.429837502
505.0270818,0.368602008,0.48483121,0.41771812
505.0884061,0.372425372,0.507784917,0.423291158
505.1497269,0.371348309,0.488465224,0.4175877
505.2110443,0.358123725,0.470427642,0.413931917
505.2723583,0.353049362,0.478822187,0.414729838
505.3336688,0.364081445,0.490567526,0.424984225
505.3949759,0.37121328,0.499548404,0.422031785
505.4562795,0.374969781,0.507551511,0.419243657
505.5175798,0.370444705,0.499120299,0.431969953
505.5788765,0.37605656,0.511731521,0.439716163
505.6401698,0.381983941,0.520392215,0.441766415
505.7014597,0.373098232,0.4878582,0.431681876
505.7627462,0.369513964,0.488702757,0.429298267
505.8240292,0.36705685,0.48957993,0.427864572
505.8853087,0.375749274,0.49745607,0.433171493
505.9465849,0.380548499,0.516046639,0.443934914
506.0078575,0.374429832,0.508988053,0.440454814
506.0691268,0.377656164,0.525761266,0.450290364
506.1303926,0.375214941,0.525227588,0.437821857
506.1916549,0.37258998,0.514865258,0.437109951
506.2529139,0.382866134,0.533758024,0.44459055
506.3141693,0.380833242,0.519668634,0.43791914
506.3754214,0.380836777,0.525835645,0.443535105
506.43667,0.377634573,0.521536111,0.436367194
506.4979151,0.383484764,0.512078935,0.437356543
506.5591568,0.36476868,0.493298977,0.423526003
506.6203951,0.365901192,0.502500637,0.432009535
506.68163,0.370471486,0.515476233,0.439830651
506.7428614,0.370077164,0.513546955,0.43800036
506.8040893,0.373181038,0.521157462,0.43487494
506.8653138,0.382795576,0.52352956,0.437466096
506.9265349,0.379082541,0.524728323,0.438062974
506.9877525,0.383188926,0.520056772,0.442900312
507.0489667,0.38708451,0.516163478,0.447045903
507.1101775,0.383208003,0.517373654,0.440636579
507.1713848,0.380383061,0.503121931,0.428315687
507.2325886,0.376923781,0.514421862,0.433663162
507.2937891,0.382748647,0.532061641,0.443125071
507.3549861,0.382432051,0.522418077,0.444019224
507.4161796,0.381887006,0.513499397,0.432978948
507.4773697,0.368780284,0.49873934,0.421133526
507.5385564,0.377649681,0.512662259,0.430134653
507.5997396,0.379766342,0.530979368,0.444013485
507.6609194,0.388097059,0.536823703,0.454348229
507.7220957,0.387018524,0.522096639,0.445249624
507.7832687,0.392761004,0.538779898,0.457327128
507.8444381,0.397913464,0.526338273,0.451746026
507.9056041,0.388663884,0.515409338,0.443464392
507.9667667,0.375381808,0.518040183,0.447957757
508.0279259,0.378892871,0.500856147,0.44097605
508.0890816,0.37756582,0.505299916,0.437546516
508.1502338,0.370750812,0.494753329,0.422890255
508.2113826,0.373643108,0.495860104,0.424292215
508.272528,0.379348371,0.517107375,0.436002287
508.33367,0.379864604,0.512291651,0.437440726
508.3948085,0.378143579,0.516743281,0.438025184
508.4559435,0.383151953,0.519501095,0.433956005
508.5170751,0.413414595,0.562493074,0.468957343
508.5782033,0.414170623,0.56040969,0.465941302
508.6393281,0.401932049,0.521291106,0.450930762
508.7004494,0.394767024,0.526134239,0.454675579
508.7615672,0.409270516,0.549377446,0.460397473
508.8226816,0.394011378,0.520314151,0.449530969
508.8837926,0.373869492,0.484403249,0.421873668
508.9449001,0.385119498,0.522854353,0.453192861
509.0060042,0.38803411,0.528513778,0.449449627
509.0671049,0.3840892,0.533808449,0.446752452
509.1282021,0.37075366,0.505294643,0.431363047
509.1892959,0.375037664,0.501538118,0.433765881
509.2503862,0.380095713,0.516496076,0.44284304
509.3114731,0.394751333,0.533433064,0.458292217
509.3725565,0.4092588,0.557278096,0.473176754
509.4336365,0.412863483,0.563232661,0.476127053
509.4947131,0.412848155,0.552923624,0.474592068
509.5557862,0.403425697,0.541770315,0.466176915
509.6168559,0.384731828,0.516332591,0.441665789
509.6779222,0.369503047,0.490027451,0.432527124
509.738985,0.387512704,0.539984416,0.461992971
509.8000443,0.386098703,0.544860036,0.456019622
509.8611003,0.374450435,0.514504183,0.435077395
509.9221527,0.38338511,0.525836036,0.441372995
509.9832018,0.383978175,0.526082194,0.446637739
510.0442474,0.373730834,0.501307961,0.427842864
510.1052896,0.357572575,0.473826149,0.405118281
510.1663283,0.387380759,0.531316318,0.443741106
510.2273636,0.410505402,0.573365172,0.476301746
510.2883954,0.419674319,0.584459789,0.481456009
510.3494238,0.408314231,0.552709661,0.461936436
510.4104488,0.403235713,0.563189048,0.471016556
510.4714703,0.41388056,0.581193931,0.480156173
510.5324884,0.399128238,0.561427627,0.466812147
510.593503,0.390082607,0.530667095,0.444740705
510.6545142,0.398063026,0.547835164,0.453872976
510.715522,0.390694938,0.54081081,0.447682613
510.7765263,0.389554892,0.543334591,0.447436037
510.8375271,0.385234646,0.520527639,0.441185706
510.8985246,0.374944913,0.499619509,0.430936033
510.9595186,0.382363139,0.517309535,0.443150469
511.0205091,0.374468003,0.518294625,0.447644296
511.0814962,0.377590046,0.528015499,0.445918024
511.1424799,0.39129983,0.550445143,0.465789005
511.2034601,0.415789,0.590320971,0.488703422
511.2644369,0.417700376,0.57812217,0.484239992
511.3254103,0.404844923,0.548937484,0.46488733
511.3863802,0.423009939,0.584861609,0.488119071
511.4473467,0.422894544,0.585571457,0.489193695
511.5083097,0.415974845,0.579032822,0.480603509
511.5692693,0.40782414,0.560304771,0.476649138
511.6302254,0.403924554,0.557853734,0.464607707
511.6911781,0.403234169,0.566435093,0.459484502
511.7521274,0.394344275,0.551290594,0.454925892
511.8130732,0.393521416,0.534194017,0.4497872
